email,spam
"Congratulations! You've won a $1,000 Walmart gift card. Click here to claim your prize now!",1
"Dear friend, I am in need of your help to transfer $10 million. Please respond urgently.",1
"Your invoice is attached. Please review and let us know if you have any questions.",0
"Get paid to work from home! No experience necessary. Sign up today!",1
"Your subscription has been renewed. Thank you for being a valued customer.",0
"Exclusive deal just for you! Buy one, get one free on all items!",1
"Important security update for your account. Please verify your information.",1
"Don't miss out on our summer sale! Up to 50% off on select items.",1
"Your subscription has been renewed. Thank you for being a valued customer.",0
"Win a free vacation! Enter our contest now!",1
"Looking for a new job? We have opportunities for you!",1
"Reminder: Your appointment is scheduled for tomorrow at 10 AM.",0
"Congratulations! You've been selected for a free cruise.",1
"Your password has been changed. If you didn't request this, please contact support.",1
"Let's catch up for coffee this weekend.",0
"Urgent: Please update your personal information immediately.",1
"Happy birthday! Enjoy a special discount on your next purchase.",1
"We are excited to announce a new product launch. Check it out!",0
"Are you interested in a high-paying job from home?",1
"Your order has been shipped. Tracking number: 123456789.",0
"Limited time offer! Get 70% off on all electronics.",1
"Your package is out for delivery and will arrive today.",0
"URGENT: Your account has been compromised. Reset your password now.",1
"Weekly newsletter: Top stories and updates from our team.",0
"Claim your free iPhone by clicking this link!",1
"Thank you for your payment. Your receipt is attached.",0
"Earn $500 a day from home! No skills required.",1
"Invitation to connect on LinkedIn.",0
"Alert: Suspicious login attempt detected on your account.",1
"Your friend tagged you in a photo on Facebook.",0
"Team lunch scheduled for Friday at noon.",0
"Can you review the attached document and provide feedback?",0
"Happy birthday! Wishing you a wonderful year ahead.",0
"Please find the meeting agenda attached.",0
"Your Amazon order has shipped and will arrive soon.",0
"Let's catch up over coffee next week.",0
"Reminder: Doctor's appointment tomorrow at 10 AM.",0
"Thank you for your recent purchase.",0
"Welcome to our service! Let us know if you need any help.",0
"Monthly report: Sales figures and analysis attached.",0
"Free Bitcoin giveaway! Visit our website to claim now.",1
"Your credit card has been suspended. Click to resolve the issue.",1
"Hope you’re doing well. Just checking in on the report you promised.",0
"Congratulations! You've been pre-approved for a $5,000 loan.",1
"Join us for our annual team-building retreat. RSVP now.",0
"Get your diploma online with no classes required!",1
"Let's finalize the design before Friday’s presentation.",0
"Double your income in just 30 days. Find out how!",1
"Update: Your resume has been viewed by 3 recruiters.",0
"Win big in our $10,000 sweepstakes. Enter today!",1
"Can we reschedule our meeting to next Monday?",0
"Security alert: Your bank account was accessed from a new device.",1
"Meeting minutes from last week's conference attached.",0
"You're a lucky winner! Claim your $500 Walmart gift card.",1
"Thank you for registering for the webinar. See you Thursday!",0
"Don't let this opportunity pass! Invest with us and earn guaranteed returns.",1
"New comment on your blog post.",0
"Act now! Limited-time offer on luxury watches.",1
"Join our webinar to learn how to scale your business.",0
"Alert: Multiple failed login attempts on your account.",1
"We noticed unusual activity in your PayPal account.",1
"Thanks for your feedback on the recent survey.",0
"Click here to verify your account and avoid suspension.",1
"Company picnic this weekend—bring your family!",0
"Final notice: Renew your antivirus subscription now.",1
"Happy Anniversary! We appreciate your loyalty.",0
"Get your free credit score instantly. No strings attached!",1
"Invoice for services rendered last month is attached.",0
"Important update about your insurance policy.",0
"Buy followers and boost your social media instantly!",1
"You've been selected for a special promotion! Claim your reward now.",1
"Hi, can we schedule a quick call to discuss the project update?",0
"Earn money fast by taking online surveys!",1
"Your login attempt was unsuccessful. Please verify your identity.",1
"Thanks for attending our workshop. Attached is your certificate.",0
"Final warning: Your Netflix subscription is about to expire!",1
"Friendly reminder: Submit your timesheet by EOD Friday.",0
"Unlock your full potential with our self-help eBook. Download now!",1
"Great meeting today. Please find the notes attached.",0
"Exclusive investment opportunity—act before the market shifts!",1
"We appreciate your continued support and loyalty.",0
"Flash Sale! 90% off all items—today only!",1
"Quarterly earnings report now available for review.",0
"Confirm your email to receive free cryptocurrency!",1
"Let’s have lunch next week to catch up.",0
"Protect your device with our antivirus software. Get it now!",1
"New calendar invitation: Budget Review Meeting - Friday 10 AM",0
"You have 1 unread message from your bank. Click here to view.",1
"Job interview scheduled for Tuesday at 2 PM.",0
"Apply for your dream job with one click!",1
"Reminder: Staff training scheduled for next Monday.",0
"Act fast! Only a few spots left in our program.",1
"We’re hiring! Explore open roles at our company.",0
"Reset your password immediately to secure your account.",1
"Your feedback matters! Take this 2-minute survey.",0
"Congratulations! You've earned a $100 shopping voucher.",1
"Please see the attached document and let me know your comments.",0
"Your tax return has been processed successfully.",0
"Sign up now and receive a free trial membership.",1
"Check out this funny cat video I found!",0
"Free course: Learn how to become a millionaire in 10 steps!",1
"Don't forget: All-hands meeting tomorrow at 9 AM.",0
"Limited time: Buy two, get three free!",1
"Your Dropbox is full. Click here to upgrade your storage.",1
"Please complete your profile to receive personalized job alerts.",0
"Action required: Confirm your email to continue using the service.",1
"Your travel itinerary is attached. Have a safe trip!",0
"Find out how I made $10,000 in one week!",1
"Invitation: Join our Slack workspace to stay connected.",0
"Payment successful! Your transaction ID is 789456.",0
"Get a brand new iPhone for just $1! Limited time offer!",1
"Let's circle back next week to finalize the budget.",0
"Hot singles in your area are waiting to chat!",1
"Reminder: Quarterly business review this Thursday at 11 AM.",0
"Unlock lifetime access to our fitness program today!",1
"Looking forward to your presentation tomorrow!",0
"Congratulations! Your loan has been approved—no credit check needed.",1
"Check out the revised contract draft attached.",0
"Earn up to $200/hr working from your phone!",1
"Just touching base—do you have a minute this afternoon?",0
"Verify your identity to continue using your account.",1
"Please find the updated schedule attached.",0
"Free rewards inside! Click to redeem your prize.",1
"Your application has been received and is under review.",0
"Act now and get a free 7-day detox plan!",1
"Let’s connect at the conference next week.",0
"Congratulations! You are eligible for a government grant.",1
"Weekly team sync moved to Friday—same time.",0
"Claim your exclusive reward before midnight!",1
"Hi, here’s the slide deck from yesterday’s session.",0
"Alert: You’ve reached your inbox storage limit.",1
"We value your opinion! Participate in our quick poll.",0
"Win big with our online casino. Register now!",1
"Let me know if you’d like to join the client call.",0
"Save up to $500 on car insurance today!",1
"See the attached travel policy updates.",0
"Upgrade your lifestyle with our luxury deals!",1
"Notes from the client strategy session attached.",0
"You’re just one click away from your free gift!",1
"Meeting room changed to 3B. See you at 2 PM!",0
"Instantly improve your credit score with this one trick!",1
"Following up on the contract—any updates?",0
"Don't miss this one-day-only stock trading opportunity!",1
"Your resume has been shortlisted. Expect a call soon.",0
"Congratulations! You've been chosen to receive a free laptop.",1
"Could you approve the revised marketing plan?",0
"Boost your energy with our all-natural supplements!",1
"Let’s finalize the onboarding checklist today.",0
"Click here to unlock hidden features in your account!",1
"Flight rescheduled—check new itinerary in the portal.",0
"Dear user, your account has been suspended due to suspicious activity. Please click the link below to verify your account.",1
"Your PayPal account has been limited. Log in now to restore access.",1
"Please confirm your bank account information to avoid service interruption.",1
"We detected a login attempt from an unknown device. Reset your password immediately.",1
"Congratulations! You have been selected for a $500 Amazon gift card. Claim now.",1
"Update your billing information to continue enjoying our services.",1
"Your tax refund is ready. Submit your details to receive the payment.",1
"Unusual activity detected in your account. Verify your identity now.",1
"Your mailbox is almost full. Click here to increase your storage.",1
"Security alert: Someone tried to access your account. Review activity.",1
"Congratulations! You have been selected for a free trip to Paris. Click here to claim your tickets.",1
"Your account will be deactivated unless you confirm your details immediately.",1
"Get rich quick! Invest in cryptocurrency and double your money overnight.",1
"You have a pending package. Pay $2.99 to schedule delivery.",1
"This is not a scam! You really won $10,000. Respond now.",1
"Your mobile number has won a lottery. Contact us to claim your prize.",1
"We tried to deliver your parcel. Please provide your address.",1
"You have been selected for a special government relief fund. Apply now.",1
"Your social media account will be locked. Click here to prevent suspension.",1
"Get exclusive access to adult content. No credit card required!",1
"Hi team, please find the attached minutes from today’s meeting.",0
"Thank you for your quick response. Looking forward to working together.",0
"Let’s schedule a call to discuss the next steps for the project.",0
"Happy holidays! Wishing you and your family all the best.",0
"Please review the attached invoice and let me know if you have any questions.",0
"Your subscription renewal was successful. Thank you for staying with us.",0
"Welcome to the team! Here’s your onboarding guide.",0
"The event has been postponed to next month. Details to follow.",0
"Congratulations on your promotion! Well deserved.",0
"Lunch is on me today. Where should we go?",0
"Congratulations! You have been selected for a free iPad. Click here to claim.",1
"Your account has been flagged for suspicious activity. Please verify your identity.",1
"Get a free trial of our premium service. No credit card required!",1
"You have received a secure document. Download now.",1
"Act now to receive your exclusive membership benefits.",1
"Your account will be suspended unless you update your information.",1
"Win a $1000 shopping spree! Enter today.",1
"You have been chosen for a special offer. Click to learn more.",1
"Congratulations! You are the lucky winner of our monthly draw.",1
"Your payment could not be processed. Update your billing info.",1
"Thank you for your help on the recent project.",0
"Looking forward to our meeting next week.",0
"Please see the attached file for your review.",0
"Happy to connect with you on this opportunity.",0
"Let me know if you have any questions about the report.",0
"Welcome to our newsletter!",0
"Your order has been delivered. Thank you for shopping with us.",0
"Reminder: Submit your expense report by Friday.",0
"Congratulations on your work anniversary!",0
"Please RSVP for the upcoming event.",0
"Special discount just for you! Save 80% on all items.",1
"Your account is eligible for a free upgrade. Click here.",1
"You have a new voicemail. Listen now.",1
"Get your free sample today! Limited time only.",1
"Your account has been selected for a security check.",1
"Win a free vacation to Hawaii!",1
"You have been selected for a cash prize. Respond to claim.",1
"Your account will be locked in 24 hours. Take action now.",1
"Congratulations! You have been chosen for a free cruise.",1
"Get exclusive access to our VIP club. Join now.",1
"Thank you for your continued support.",0
"Please find the attached invoice for your records.",0
"Looking forward to your feedback on the proposal.",0
"Your subscription has been renewed successfully.",0
"Let’s catch up soon!",0
"Reminder: Team meeting at 10 AM tomorrow.",0
"Thank you for attending the training session.",0
"Your feedback is appreciated.",0
"Please review the attached agenda for the meeting.",0
"Congratulations on your recent promotion!",0
"Lunch meeting confirmed for Thursday.",0
"Win a free smartwatch! Enter our contest now.",1
"Your account has been compromised. Reset your password immediately.",1
"Get a free gift card with your next purchase.",1
"You have been selected for a free trial. Sign up today.",1
"Your account is at risk. Verify your details now.",1
"Congratulations! You have won a $500 cash prize.",1
"Get instant access to our exclusive deals.",1
"Your account will be deactivated soon. Act now.",1
"Win a free laptop! Limited time offer.",1
"Thank you for your prompt response.",0
"Looking forward to our collaboration.",0
"Please see the attached document for your review.",0
"Happy to assist you with your request.",0
"Let me know if you need any further information.",0
"Welcome to our community!",0
"Your order has been shipped. Track your package here.",0
"Reminder: Submit your timesheet by end of day.",0
"Congratulations on your new role!",0
"Please RSVP for the upcoming meeting.",0
"Special offer: Buy one, get one free!",1
"Your account is eligible for a special promotion.",1
"You have a new message. Read now.",1
"Get your free trial today! No obligation.",1
"Your account has been selected for verification.",1
"Win a free trip to New York!",1
"You have been selected for a bonus reward. Claim now.",1
"Your account will be suspended in 48 hours. Take action.",1
"Congratulations! You have been chosen for a free tablet.",1
"Get exclusive access to our premium content. Subscribe now.",1
"Thank you for your recent purchase.",0
"Please find the attached report for your review.",0
"Looking forward to your input on the project.",0
"Your subscription has been activated successfully.",0
"Let’s connect soon!",0
"Reminder: Project deadline is next week.",0
"Thank you for joining the webinar.",0
"Your feedback is valuable to us.",0
"Please review the attached minutes from the meeting.",0
"Congratulations on your successful project completion!",0
"Lunch meeting scheduled for Friday.",0
"Win a free camera! Enter our giveaway now.",1
"Your account has been flagged for review. Update your info.",1
"Get a free coupon with your next order.",1
"You have been selected for a free membership. Join today.",1
"Your account is at risk of suspension. Verify now.",1
"Congratulations! You have won a $1000 shopping voucher.",1
"Get instant access to our latest offers.",1
"Your account will be deactivated in 72 hours. Act now.",1
"Win a free vacation! Limited time offer.",1
"Thank you for your cooperation.",0
"Looking forward to our next meeting.",0
"Please see the attached file for your reference.",0
"Happy to help with your inquiry.",0
"Let me know if you have any other questions.",0
"Welcome to our platform!",0
"Your order has been processed. Thank you for your business.",0
"Reminder: Submit your project update by Friday.",0
"Congratulations on your recent achievement!",0
"Please RSVP for the upcoming conference.",0
"Special deal: Save 50% on your next purchase!",1
"Your account is eligible for a free trial.",1
"You have a new alert. View now.",1
"Get your free sample now! Limited supply.",1
"Your account has been selected for a special offer.",1
"Win a free smartphone! Enter our sweepstakes.",1
"You have been selected for a cash bonus. Respond to claim.",1
"Your account will be locked in 12 hours. Take action now.",1
"Congratulations! You have been chosen for a free smartwatch.",1
"Get exclusive access to our members-only deals.",1
"Thank you for your assistance.",0
"Looking forward to your suggestions.",0
"Please find the attached summary for your review.",0
"Happy to provide more details if needed.",0
"Let me know if you require any further assistance.",0
"Welcome to our support team!",0
"Your order has been confirmed. Thank you for choosing us.",0
"Reminder: Submit your feedback by end of week.",0
"Congratulations on your new position!",0
"Please RSVP for the upcoming workshop.",0
"Special promotion: Get 30% off your next order!",1
"Your account is eligible for a bonus reward.",1
"You have a new notification. Check now.",1
"Get your free trial offer today! No risk.",1
"Your account has been selected for an upgrade.",1
"Win a free trip to London!",1
"You have been selected for a special discount. Claim now.",1
"Your account will be suspended in 24 hours. Take action.",1
"Congratulations! You have been chosen for a free camera.",1
"Get exclusive access to our latest products. Shop now.",1
"Thank you for your participation.",0
"Looking forward to your comments.",0
"Please see the attached document for your information.",0
"Happy to answer any questions you may have.",0
"Let me know if you need any additional support.",0
"Welcome to our customer portal!",0
"Your order has been dispatched. Track your shipment here.",0
"Reminder: Submit your timesheet by Monday.",0
"Congratulations on your recent success!",0
"Please RSVP for the upcoming seminar.",0
"Special deal: Save 40% on your next order!",1
"Your account is eligible for a special gift.",1
"You have a new update. View now.",1
"Get your free sample today! No purchase necessary.",1
"Your account has been selected for a bonus.",1
"Win a free vacation! Enter our sweepstakes.",1
"You have been selected for a cash reward. Respond to claim.",1
"Your account will be suspended in 3 hours. Take action now.",1
"Congratulations! You have been chosen for a free gift card.",1
"Get exclusive access to our new arrivals. Shop now.",1
"Thank you for your continued business.",0
"Looking forward to your response.",0
"Please see the attached schedule for your review.",0
"Happy to provide more information if needed.",0
"Let me know if you have any questions about the process.",0
"Welcome to our new members!",0
"Your order has been updated. Thank you for your patience.",0
"Reminder: Submit your assignment by Friday.",0
"Congratulations on your recent certification!",0
"Please RSVP for the upcoming event series.",0
"Special promotion: Get 25% off your next order!",1
"Your account is eligible for a free bonus.",1
"You have a new alert waiting. View now.",1
"Get your free sample offer now! Limited time.",1
"Your account has been selected for a special reward.",1
"Win a free smartwatch! Enter our giveaway.",1
"You have been selected for a bonus offer. Respond to claim.",1
"Your account will be locked in 1 hour. Take action now.",1
"Congratulations! You have been chosen for a free membership.",1
"Get exclusive access to our best deals. Join now.",1
"Thank you for your quick reply.",0
"Looking forward to your recommendations.",0
"Please find the attached checklist for your review.",0
"Happy to discuss further if needed.",0
"Let me know if you need any clarification.",0
"Welcome to our professional network!",0
"Your order has been processed successfully.",0
"Reminder: Submit your feedback by Friday.",0
"Congratulations on your recent recognition!",0
"Please RSVP for the upcoming panel.",0
